ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label,signal_since
DG.PA,Vinci SA,Industrials,61151981568.0,12.2752495,11.0241165,2.0035505,4.56,0.825,120.742,0.16318001,0.036846653890955545,0.06713,0.023,0.108,8071124992.0,90725195776.0,12780000256.0,9004000000.0,75702000000.0,41346998272.0,15564000256.0,55.202,133065000000.0,49554000000.0,,58097000000.0,4903000000.0,11886000000.0,0.6000501968243904,,555967094.0,0.03755473353360465,0.5818903913808268,0.8529528202833193,0.8527792415459815,0.28326006087250594,0.2800271833563723,0.5689099312366137,0.561954112641033,562417394.0,1510000000.0,110.6,[],{},0.1319846844705276,7.098997962336191,10.076099042203465,0.09924475690557699,0.08146473927067634,,0.12010457795326006,1.0,20,20,0.8300000000000001,13.0,22.0,0.6207545454545453,0.6207545454545453,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6589116666666667,True,0.8,0.9,strong_buy,4,10,stable,0.865,persistent,2026-07-25
AD.AS,Koninklijke Ahold Delhaize N.V.,Consumer Defensive,27925432320.0,12.7330675,10.925524,1.9332204,3.9,0.713,133.34,0.15675999,0.04612031208621076,0.02448,0.003,-0.002,2912000000.0,43975434240.0,5388000256.0,3082000000.0,92352000000.0,19260999680.0,3211000064.0,16.532,49089000000.0,11923000000.0,,16794000000.0,2264000000.0,6989000000.0,0.2654409216909217,,886877259.0,0.034026465028355386,0.26640330360240383,0.7099559366440396,0.8350195447229248,0.3748905050011204,0.39186373982485245,1.88131760679582,1.7236410632305852,913583817.0,823000000.0,31.96,[],{},0.10427770523410826,8.161735736933121,14.268473147306944,0.07008458366049782,0.07853567099993776,,0.09543272952469423,1.0,20,20,0.8125,8.0,22.0,0.5443454545454546,0.5443454545454546,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.605645,True,0.8,0.85,strong_buy,4,10,stable,0.8313,persistent,2026-07-25
SAN.PA,Sanofi,Healthcare,88908677120.0,22.90432,8.181485,1.284688,5.46,0.987,33.89,0.05709,0.061614289657347894,0.08091,0.146,-0.912,6298999808.0,106494705664.0,13543000064.0,9597000000.0,46716000000.0,23576000512.0,6350000128.0,57.765,126805000000.0,30952000000.0,,28345000000.0,7813000000.0,10750000000.0,0.720673859063276,,1207641512.0,0.04186810042319915,0.7018245043580364,1.09197389310284,1.4603936629860779,0.16031702219944008,0.13483636801759064,0.36840818579709,0.33348393801111464,1253591640.0,626000000.0,74.21,[],{},0.07084797583365506,7.86345013370296,11.09666621485881,0.09011715596716482,0.043659885995305694,,0.09747105423522243,1.0,20,20,0.775,9.0,22.0,0.6159181818181819,0.6159181818181819,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6758966666666667,True,0.9,0.8333,strong_buy,4,10,stable,0.8042,persistent,2026-07-25
TTE.PA,TotalEnergies SE,Energy,177870176256.0,11.665216,9.23557,1.609312,4.53,1.061,48.045,0.14479999,0.04510144130834379,0.09083,0.278,1.06,13531374592.0,212769947648.0,39650000896.0,19925000000.0,182344000000.0,62917001216.0,31716999168.0,50.01516,291055000000.0,89469000000.0,,92563000000.0,13127000000.0,27343000000.0,0.2843361997104374,,2142883014.0,0.05519690914122184,0.28389141659424366,0.9665741170878213,1.0978967712596635,0.20639054474240265,0.17949678969620333,0.6264932744670252,0.6851800607383174,2248149843.0,2558000000.0,80.49,[],{},0.0760744430394275,5.36620284589867,10.678541914579673,0.0936457437728156,0.0857249449988753,,0.10038187937045322,1.0,20,20,0.775904761904762,14.0,22.0,0.7450181818181818,0.7450181818181818,0.6363636363636364,0.0,1.0,0.6363636363636364,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.8099516666666666,True,0.9,0.8222,strong_buy,4,10,stable,0.7991,persistent,2026-07-25
SGO.PA,Compagnie de Saint-Gobain S.A.,Industrials,34029750272.0,12.909092,10.213038,1.3405519,3.31,1.272,66.318,0.11038999,0.047389703465053584,0.057779998,-0.011,-0.12,3101625088.0,46207356928.0,6579999744.0,4953000000.0,46483000000.0,17269999616.0,5751000064.0,51.904,60836000000.0,21360000000.0,,16844000000.0,2883000000.0,5638000000.0,0.27835983047565777,,492707578.0,0.046080559966298326,0.2766313800433746,1.2681073379244836,1.345002108814846,0.29142284173844435,0.28904047441589165,0.7640706160825826,0.7545772708124048,496879548.0,950000000.0,69.58,[],{},0.09114451511423657,7.022394943120533,9.329165541691903,0.10719072306424564,0.07746478218607475,,0.1125886524822695,1.0,20,20,0.75,10.0,22.0,0.6105272727272728,0.6105272727272728,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.64357,True,1.0,0.83,strong_buy,4,17,stable,0.79,persistent,2026-07-17
DHL.DE,DHL AG,Industrials,61937999872.0,17.012196,14.690319,2.7790227,3.4,1.03,122.614,0.18090001,0.049297361232363626,0.04344,0.128,0.286,5425375232.0,86140870656.0,8397000192.0,5313000000.0,82855000000.0,27971999744.0,4291000064.0,20.079,71018000000.0,20946000000.0,,21410000000.0,3501000000.0,9119000000.0,0.164455977309758,,1119243239.0,0.04768515205724508,0.1562574238608828,0.9783278841662775,0.951631949364697,0.3583176096200963,0.32117352415026834,1.1666760539581515,1.2048372093023256,1153216427.0,1107000000.0,55.8,[],{},0.08759364595582658,10.258529080190833,16.213226172783738,0.06167803923432868,0.05878135897329187,,0.10709966134494436,1.0,20,20,0.6799999999999999,9.0,22.0,0.5393454545454546,0.5393454545454546,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.64027,True,0.8,0.72,strong_buy,4,10,stable,0.7,persistent,2026-07-25
WKL.AS,Wolters Kluwer N.V.,Industrials,15287300096.0,11.720137,11.102597,19.46712,3.68,0.688,590.213,1.46141,0.13647746243739567,0.21864,-0.006,0.089,1247874944.0,19383375872.0,1947000064.0,1687000000.0,6125000000.0,5548000256.0,1494000000.0,3.528,9584000000.0,2633000000.0,,4058000000.0,1308000000.0,1668000000.0,0.7346938775510204,,226216153.0,0.11360286376079175,0.7251521298174443,0.6488417939871858,0.7021670190274841,0.514712020033389,0.42830069488313327,0.6390859766277128,0.6228679722046747,234366515.0,117000000.0,68.68,[],{},0.08162821009358695,9.95550859519643,11.489849360995851,0.08703334296049707,0.08532323470280254,,0.3052841114730366,1.0,20,20,0.68,14.0,22.0,0.6263590909090908,0.6263590909090908,0.6363636363636364,0.0,1.0,0.6363636363636364,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.68175,True,0.8,0.67,buy,3,10,stable,0.675,persistent,2026-07-25
DTE.DE,Deutsche Telekom AG,Communication Services,138217439232.0,16.235954,11.3488655,2.3094134,3.46,1.033,165.297,0.15063,0.03316089712840228,0.07013,0.043,-0.05,17394624512.0,309048606720.0,42652000256.0,25612000000.0,118343000000.0,146755993600.0,5373000192.0,12.514,289769000000.0,41177000000.0,,36848000000.0,9609000000.0,40627000000.0,0.6107585577516202,,4838022420.0,0.03675877402979005,0.6113229839024941,1.1174826313504125,1.0562503552953215,0.48473784290244987,0.47599152603514205,0.4084046257536175,0.37749480215390874,4900429250.0,6547000000.0,28.9,[],{},0.12584970904288617,7.245817426265374,12.066555002342652,0.08287369508578511,0.061591699508387374,,0.10126482182183369,1.0,20,20,0.6430595238095238,7.0,22.0,0.5531272727272728,0.5531272727272728,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6151033333333333,True,0.9,0.6711,buy,3,10,stable,0.6571,persistent,2026-07-25
VOW.DE,Volkswagen AG,Consumer Cyclical,40680112128.0,7.780441,3.1400704,0.23092158,6.4,1.069,138.745,0.027609998,0.011362878161333318,0.018,0.02,-0.41,14109154304.0,269548109824.0,19285999616.0,10794000000.0,321913000000.0,280904007680.0,66773999616.0,351.418,644467000000.0,247865000000.0,,226525000000.0,7323000000.0,15009000000.0,0.15917965413015317,,501295263.0,0.017934761141087524,0.18318214720241488,1.0942059375344884,1.1298937057395215,0.30468123270857933,0.3105047360978346,0.4995026898196494,0.5129600808968171,501295263.0,3244000000.0,81.15,[],{},0.3468317456846121,13.976361878612618,24.972031667963684,0.04004479944989369,0.12852741894707512,,0.025826550095467794,1.0,20,20,0.7555555555555556,9.0,22.0,0.5811090909090909,0.5811090909090909,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,4,5,"cheapness,dividend,garp,risk",0.6007933333333334,True,0.7,0.8167,strong_buy,4,10,stable,0.6289,persistent,2026-07-25
MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",Consumer Cyclical,200365719552.0,18.508654,16.148623,2.9432425,3.11,1.631,53.306,0.16586,0.07658567837957715,0.13658,-0.029,0.008,11537125376.0,226956181504.0,20053999616.0,17668000000.0,80807000000.0,37150998528.0,12213999616.0,138.096,142037000000.0,48179000000.0,,30416000000.0,10878000000.0,18875000000.0,0.6624178598388754,,496391012.0,0.08412091963268316,0.6703195484282374,1.584001841136244,1.4088022317188984,0.2586016319691348,0.27617802801796365,0.5689151418292416,0.5676117702258865,499372818.0,1151000000.0,406.45,[],{},0.057580335607288466,11.317252710173783,12.84560683178628,0.07784762628150144,0.05402878026678763,,0.15828562725651982,1.0,20,20,0.5611111111111111,10.0,22.0,0.5652818181818182,0.5652818181818182,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6469966666666667,True,1.0,0.5889,buy,3,17,stable,0.575,persistent,2026-07-17
