ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank
AD.AS,Koninklijke Ahold Delhaize N.V.,Consumer Defensive,27034195968.0,12.326694,10.576838,1.871522,3.93,0.713,133.34,0.15675999,0.04612031208621076,0.02448,0.003,-0.002,2912000000.0,43617189888.0,5388000256.0,3082000000.0,92352000000.0,19260999680.0,3211000064.0,16.532,49089000000.0,11923000000.0,,16794000000.0,2264000000.0,6989000000.0,0.2654409216909217,,886877259.0,0.034026465028355386,0.26640330360240383,0.7099559366440396,0.8350195447229248,0.3748905050011204,0.39186373982485245,1.88131760679582,1.7236410632305852,913583817.0,823000000.0,30.94,[],{},0.1077154283947225,8.095246439424074,14.152235524983777,0.07066021465192839,0.08112475250866129,,0.09543272952469423,1.0,20,20,0.8125,9.0,22.0,0.5535227272727273,0.5535227272727273,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.611035,True,0.8,0.85,strong_buy,4
SGO.PA,Compagnie de Saint-Gobain S.A.,Industrials,39557988352.0,14.990725,11.753206,1.6222295,2.85,1.272,66.318,0.11038999,0.047389703465053584,0.057779998,-0.011,-0.12,3101625088.0,51696476160.0,6579999744.0,4953000000.0,46483000000.0,17269999616.0,5751000064.0,49.808,60836000000.0,21360000000.0,,16844000000.0,2883000000.0,5638000000.0,0.27835983047565777,,492707578.0,0.046080559966298326,0.2766313800433746,1.2681073379244836,1.345002108814846,0.29142284173844435,0.28904047441589165,0.7640706160825826,0.7545772708124048,496879548.0,950000000.0,80.8,[],{},0.07840704791155503,7.856607624816346,10.437406856450636,0.09580923822874352,0.06670791439373346,,0.1125886524822695,1.0,20,20,0.76,10.0,22.0,0.5838727272727273,0.5838727272727273,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6299466666666667,True,1.0,0.84,strong_buy,4
DHL.DE,Deutsche Post AG,Industrials,61494001664.0,16.890245,14.582094,2.7591016,3.43,1.03,122.614,0.18090001,0.049297361232363626,0.04344,0.128,0.286,5425375232.0,85608120320.0,8397000192.0,5313000000.0,82855000000.0,27971999744.0,4291000064.0,20.079,71018000000.0,20946000000.0,,21410000000.0,3501000000.0,9119000000.0,0.164455977309758,,1119243239.0,0.04768515205724508,0.1562574238608828,0.9783278841662775,0.951631949364697,0.3583176096200963,0.32117352415026834,1.1666760539581515,1.2048372093023256,1153216427.0,1107000000.0,55.4,[],{},0.08822608848329574,10.195083763551734,16.112953194052324,0.0620618695999889,0.05920577232597869,,0.10709966134494436,1.0,20,20,0.7400000000000002,9.0,22.0,0.5489727272727273,0.5489727272727273,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6485916666666667,True,0.8,0.8,strong_buy,4
DTE.DE,Deutsche Telekom AG,Communication Services,137356566528.0,16.13483,11.295613,2.2950296,3.43,1.033,165.297,0.15063,0.03316089712840228,0.07013,0.043,-0.05,17394624512.0,310396518400.0,42652000256.0,25612000000.0,118343000000.0,146755993600.0,5373000192.0,12.514,289769000000.0,41177000000.0,,36848000000.0,9609000000.0,40627000000.0,0.6107585577516202,,4838022420.0,0.03675877402979005,0.6113229839024941,1.1174826313504125,1.0562503552953215,0.48473784290244987,0.47599152603514205,0.4084046257536175,0.37749480215390874,4900429250.0,6547000000.0,28.72,[],{},0.12663846331987427,7.277419969449979,12.11918313290645,0.08251381211368639,0.061977721488233835,,0.10126482182183369,1.0,20,20,0.6696048278263899,7.0,22.0,0.56045,0.56045,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6186883333333333,True,0.9,0.7006,buy,3
MUV2.DE,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,Financial Services,64567984128.0,9.542582,9.921124,1.9238988,4.66,0.276,24.378,0.21299,0.02185515157144184,0.11163,0.013,0.098,6889625088.0,67313123328.0,,8997000000.0,62312000000.0,8222000128.0,5818999808.0,266.75,279934000000.0,,,,6118000000.0,4906000000.0,,,127961889.0,0.0199132808736149,,,,0.02655625968978402,0.02206729460065214,0.22259532604113827,0.2249111512976449,131406411.0,369000000.0,513.2,[],{},0.10670342556059922,,7.4817298352784265,0.1336589294209373,0.10479344060129639,,,0.9,18,20,0.7121212121212122,14.0,22.0,0.6851636363636364,0.6851636363636364,0.6363636363636364,0.0,1.0,0.6363636363636364,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7323483333333333,True,0.9,0.6791,buy,3
ADYEN.AS,Adyen N.V.,Technology,33549064192.0,29.904333,22.69498,6.3414407,,1.648,6.928,0.21271,0.08668834869386088,0.43555,0.189,0.129,-1190886784.0,21296388096.0,1290572032.0,1096267000.0,2646897000.0,409363008.0,12403191808.0,167.596,12256849000.0,11689803000.0,,6787358000.0,1062526000.0,1030422000.0,0.8884433357248128,,31536692.0,0.08097509041135888,0.8931407741100045,1.7222906173506687,1.551525949324971,0.02058979432642109,0.01997815545686018,0.21595248501470485,0.19479620585195337,31485187.0,19700000.0,1062.8,[],{},-0.03549687040999418,16.50151062315908,19.426278539808276,0.05147666332235496,0.03343997005383802,,0.20043309331709294,0.95,19,20,0.6078431372549019,4.0,22.0,0.3870272727272726,0.3870272727272726,0.18181818181818182,0.0,1.0,0.18181818181818182,22.0,3,5,"cheapness,quality,risk",0.4091333333333333,True,0.83335,0.6667,buy,3
ENI.MI,Eni S.p.A.,Energy,70891331584.0,12.786458,10.613187,1.5553725,4.47,1.48,64.975,0.10901,0.019026913452348818,0.05874,0.185,5.806,-8982875136.0,96572866560.0,13235999744.0,4506000000.0,82151000000.0,36990001152.0,15088000000.0,15.784,137069000000.0,48867000000.0,,36815000000.0,2608000000.0,13330000000.0,0.0942897834475539,,2957681345.0,0.017857750495103412,0.11355113348423933,1.327366562542442,1.1376787237893322,0.24952396238390884,0.2507367002633746,0.5993404781533388,0.6043119934122323,3083270402.0,8170000000.0,24.55,[],{},-0.12671330803479242,7.296227593520268,21.432060932090547,0.046659068540752656,0.07820774134635253,,0.044945837572565685,1.0,20,20,0.5976695072047364,9.0,22.0,0.5686454545454547,0.5686454545454547,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6957216666666667,True,0.73335,0.6601,buy,3
EL.PA,EssilorLuxottica Société anonyme,Healthcare,74086162432.0,30.187265,19.856104,1.8891362,2.45,0.889,38.359,0.06723,0.036231317004460445,0.085159995,0.057,0.123,3285750016.0,89216245760.0,5853000192.0,3377000000.0,28491000000.0,15315999744.0,1931000064.0,85.33,63895000000.0,12010000000.0,,10902000000.0,2315000000.0,5291000000.0,0.6055947492190517,,463190305.0,0.03669938860280963,0.6339595593783008,1.1016327279398275,1.1063759497852659,0.22533844588778465,0.205603696386067,0.44590343532357773,0.4123897384837972,456708608.0,314000000.0,161.2,[],{},0.04435038755065531,15.242822968286006,26.418787610305003,0.03785185053722664,0.03312655187543489,,0.06372539769403505,1.0,20,20,0.625,5.0,22.0,0.4528727272727273,0.4528727272727273,0.22727272727272727,0.0,1.0,0.22727272727272727,22.0,4,5,"cheapness,dividend,garp,risk",0.5567416666666667,True,1.0,0.65,buy,3
MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",Consumer Cyclical,218432897024.0,20.205198,17.385265,3.2086377,2.85,1.631,53.306,0.16586,0.07658567837957715,0.13658,-0.029,0.008,11537125376.0,251389247488.0,20053999616.0,17668000000.0,80807000000.0,37150998528.0,12213999616.0,138.096,142037000000.0,48179000000.0,,30416000000.0,10878000000.0,18875000000.0,0.6624178598388754,,496391012.0,0.08412091963268316,0.6703195484282374,1.584001841136244,1.4088022317188984,0.2586016319691348,0.27617802801796365,0.5689151418292416,0.5676117702258865,499372818.0,1151000000.0,443.1,[],{},0.05281770984675616,12.535616450667035,14.228506196966267,0.07028144670683807,0.049492214825115795,,0.15828562725651982,1.0,20,20,0.6026785714285715,9.0,22.0,0.5383045454545455,0.5383045454545455,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6285883333333333,True,1.0,0.6402,buy,3
BAS.DE,BASF SE                       N,Basic Materials,44337479680.0,21.638655,17.512718,1.2296453,4.34,1.855,71.358,0.061160002,0.021253971171265786,0.094239995,0.164,52.989,1055000000.0,64786444288.0,6568000000.0,2860000000.0,59656000000.0,26684999680.0,7887000064.0,41.882,76174000000.0,31684000000.0,,16411000000.0,1619000000.0,5610000000.0,0.24069666085557195,,892522164.0,0.016141267176521795,0.24769298374102827,1.9306562671378953,1.832971418510476,0.30468401291779346,0.2983896039296151,0.7831543571297293,0.7640738668158925,892522164.0,982000000.0,51.5,[],{},0.023794767037150635,9.863953149817297,22.6526028979021,0.044145037305739904,0.04621359322009617,,0.047855696668507273,1.0,20,20,0.5695802860127988,6.0,22.0,0.5419772727272728,0.5419772727272728,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,4,5,"quality,dividend,garp,risk",0.7320599999999999,True,1.0,0.6401,buy,3
