ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label
CVE.TO,Cenovus Energy Inc.,Energy,77956235264.0,11.741667,11.650983,2.2801812,2.08,1.629,33.995,0.20933,0.061963925327951565,0.12365,0.415,2.391,5475125248.0,86433234944.0,14339000320.0,4627000000.0,52751000000.0,11630999552.0,3169999872.0,18.538,63424000000.0,9890000000.0,,6314000000.0,3930000000.0,8228000000.0,0.22399575363500218,,1883400091.0,0.05557225985602858,0.22113085957800643,1.5663604687994932,1.4172779136104319,0.22400037840565085,0.1880825624789968,0.8317198536831484,1.0209943578768637,1823038000.0,661000000.0,42.27,[],{},0.07023332039391594,6.0278424586854324,18.680189095310137,0.0535326486738328,0.0851667825360743,,0.0810190859744353,1.0,20,20,0.8333333333333333,14.0,22.0,0.7404454545454545,0.7404454545454545,0.6363636363636364,0.0,1.0,0.6363636363636364,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.833645,True,1.0,0.8194,strong_buy,4,14,stable,0.8264,persistent
ABX.TO,Barrick Mining Corporation,Basic Materials,86204907520.0,10.127954,8.259055,2.2463064,1.9,3.064,12.852,0.25176,0.0968067161719371,0.32141,0.667,2.542,5272124928.0,93233905664.0,11736000512.0,8005000000.0,16956000000.0,4726000128.0,7130999808.0,22.904266,51577000000.0,10217000000.0,,3497000000.0,4993000000.0,7689000000.0,0.5125619249823071,,1675360395.0,0.04501742745559149,0.38391889800340506,2.9216471261080925,2.8887206661619986,0.10103340636330148,0.11035988745643135,0.3287511875448359,0.271322386931508,1727100407.0,358000000.0,51.45,[],{},0.06115806025053549,7.944265643876618,11.646958858713305,0.08585932277522228,0.0987366253835671,,0.16649334442595673,1.0,20,20,0.7464285714285714,17.0,22.0,0.8013227272727274,0.8013227272727274,0.7727272727272727,0.0,1.0,0.7727272727272727,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.8704183333333333,True,1.0,0.7446,strong_buy,4,14,stable,0.7455,persistent
SU.TO,Suncor Energy Inc.,Energy,111155355648.0,17.897337,12.051262,2.435327,2.55,1.417,32.358,0.1397,0.06581918076362706,0.12394,0.175,0.299,6675874816.0,122696351744.0,15589999616.0,7995000000.0,52377000000.0,14812000256.0,3271000064.0,38.656,89913000000.0,14229000000.0,,10210000000.0,5918000000.0,12781000000.0,0.41380758729976896,,1193519494.0,0.06700525706139178,0.4077185182485742,1.393633692458374,1.329487298781055,0.1613114899958849,0.16360376013543615,0.58252977878616,0.6112559030562238,1244331601.0,743000000.0,94.14,[],{},0.060058957817028205,7.87019594394838,15.346635615259537,0.06516086164225307,0.05587423425060387,,0.10030990050562714,1.0,20,20,0.7194444444444444,11.0,22.0,0.6530318181818182,0.6530318181818182,0.5,0.0,1.0,0.5,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7458633333333333,True,1.0,0.7174,strong_buy,4,14,stable,0.7184,persistent
K.TO,Kinross Gold Corporation,Basic Materials,38339301376.0,8.758807,7.604386,3.0235384,0.7,2.892,7.727,0.36991,0.192577611976376,0.37523997,0.295,0.648,2968937472.0,36558184448.0,5385099776.0,3228100000.0,7051100000.0,755299968.0,2656399872.0,10.689463,12411100000.0,3288500000.0,,1399600000.0,2390100000.0,3760500000.0,0.526981605706911,,1199843037.0,0.08732145486673538,0.36480344934742076,2.349599885681623,2.006131497028582,0.05947901475292279,0.1321049919010455,0.5681285301061146,0.47386246502724194,1229125606.0,81800000.0,32.32,[],{},0.07743848649935295,6.788766405207642,11.324985114463617,0.0883003368121745,0.11417079974475977,,0.2931571538845752,1.0,20,20,0.7089285714285715,15.0,22.0,0.781340909090909,0.781340909090909,0.6818181818181818,0.0,1.0,0.6818181818181818,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.8289,True,1.0,0.6786,buy,3,14,stable,0.6938,persistent
NTR.TO,Nutrien Ltd.,Basic Materials,46447079424.0,14.043542,13.333544,1.3177406,3.23,1.239,55.359,0.098129995,0.04334525152482744,0.08881,0.19,12.5,1606249984.0,59654078464.0,5594999808.0,3869000000.0,26885000000.0,13946000384.0,777000000.0,73.42872,52301000000.0,14749000000.0,,11041000000.0,2267000000.0,4007000000.0,0.31047052259624325,,481962233.0,0.013001543209876544,0.2899276143539196,1.3358391450049814,1.1450394354503943,0.22980440144547906,0.24704861111111112,0.5140437085332976,0.5010030864197531,491025446.0,729000000.0,96.76,[],{},0.034582367802657214,10.66203405024317,15.418474661152752,0.06485725870922407,0.07120710715288209,,0.09377120698012603,1.0,20,20,0.6214285714285716,10.0,22.0,0.6453545454545455,0.6453545454545455,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7957133333333333,True,1.0,0.6643,buy,3,14,stable,0.6429,persistent
MG.TO,Magna International Inc.,Consumer Cyclical,26171668480.0,25.233597,8.948368,1.5698297,2.89,1.215,53.427,0.06509,0.02638698793646752,0.01783,0.033,0.278,2337499904.0,30901780480.0,4303000064.0,2110000000.0,42010000000.0,6469000192.0,1430000000.0,61.24231,31417000000.0,13738000000.0,,10989000000.0,829000000.0,3598000000.0,0.14256129492977862,,280242006.0,0.03250749057637166,0.13537678588103463,1.2501592501592502,1.0844010911796313,0.2129102078492536,0.22771352169850834,1.3371741413884204,1.3800702342214632,282875928.0,275000000.0,96.14,[],{},0.08931413393786043,7.181450155795304,14.645393592417062,0.06828085525251909,0.039629704793969725,,0.10328960250636382,1.0,20,20,0.5916666666666667,9.0,22.0,0.5261045454545454,0.5261045454545454,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.60014,True,1.0,0.6667,buy,3,14,stable,0.6292,persistent
CTC-A.TO,"Canadian Tire Corporation, Limited",Consumer Cyclical,10764599296.0,16.923077,12.889545,1.8469205,3.52,1.743,159.236,0.108260006,0.02443383875430598,0.03628,0.033,2.026,1843137536.0,22521198592.0,1763299968.0,1403000000.0,16315500000.0,10820700160.0,31100000.0,110.779,21539800000.0,11316300000.0,,6196500000.0,526300000.0,952100000.0,0.3441696546229046,,52947897.0,0.03991349154249436,0.3351894818252127,1.8262406197046719,1.7911891908956026,0.3560618018737407,0.35543105851460843,0.7574582865207662,0.697643049198313,55621189.0,329700000.0,204.6,[],{},0.17122212219129126,12.772187943463967,16.052172909479687,0.06229686196623544,0.059090908822314055,,0.09144056363363813,1.0,20,20,0.7833333333333333,10.0,22.0,0.5673818181818182,0.5673818181818182,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6915916666666667,True,0.8,0.8167,strong_buy,4,2,stable,0.6,building
OTEX.TO,Open Text Corporation,Technology,8624221184.0,12.297578,5.6687183,1.5316442,4.38,0.94,161.833,0.1276,0.031644110264044074,0.09912,0.022,0.99,836536896.0,13782296576.0,1568054016.0,1038579000.0,5168405000.0,6415261184.0,1259085952.0,23.203823,13774064000.0,2201458000.0,,2747054000.0,435868000.0,830618000.0,0.7225221320697585,,254784391.0,0.03273965878642999,0.7264012595724089,0.8013886876632204,0.8131868877419484,0.48234014303984646,0.4707553802144448,0.3752273112713866,0.40614500918539287,267800517.0,377389000.0,35.54,[],{},0.09699854377018724,8.789427172386388,13.270340124342972,0.07535601880810956,0.08131682515044833,,0.09418500572684708,1.0,20,20,0.77,12.0,22.0,0.6362727272727272,0.6362727272727272,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7397966666666667,True,0.8,0.8233,strong_buy,4,2,stable,0.5975,building
AEM.TO,Agnico Eagle Mines Limited,Basic Materials,103055376384.0,12.409757,11.5690775,2.5712018,1.21,2.858,1.12,0.22969,0.1294254108440557,0.40438,0.35,0.494,4282268928.0,99897810944.0,10149319680.0,6327961000.0,11907851000.0,320350016.0,3477914880.0,79.15365,34471291000.0,4993942000.0,,2472206000.0,4461461000.0,6817113000.0,0.5812862455198675,,500046600.0,0.06321338787337907,0.4448113526917831,2.020034738205473,1.8553875255048893,0.009325731374551652,0.04275790276979191,0.34544255972310406,0.27631133579204176,501729505.0,33442000.0,203.52,[],{},0.04155308610046326,9.842808591481868,15.78672987143884,0.06334434098408105,0.08058175514637393,,0.1977544357908984,1.0,20,20,0.5892857142857143,12.0,22.0,0.7006090909090908,0.7006090909090908,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.8041316666666667,True,1.0,0.5866,buy,3,14,stable,0.5879,persistent
WSP.TO,WSP Global Inc.,Industrials,23090046976.0,23.365622,13.03259,2.30081,0.88,1.189,87.041,0.10462,0.04627159309021113,0.052270003,0.037,-0.028,1707637504.0,31211245568.0,2202500096.0,1773400000.0,18285000000.0,8734600192.0,612800000.0,74.439,20840000000.0,7430800000.0,,5863400000.0,964300000.0,2246000000.0,0.7634181022696199,,134806772.0,0.03373400926769377,0.7529133780339956,1.267319302793601,1.1159957964460863,0.23342130518234164,0.2867242267020476,0.8773992322456814,0.800368331419066,130479453.0,303800000.0,171.27,[],{},0.07395556647307533,14.170825973939026,17.59966480658622,0.05681926394562787,0.04279791909669685,,0.11841138843262156,1.0,20,20,0.735,8.0,22.0,0.4668318181818181,0.4668318181818181,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.5218433333333333,True,0.9,0.7717,strong_buy,4,2,stable,0.565,building
