ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label,signal_since
IPX.L,Impax Asset Management Group Plc,Financial Services,128301528.0,10.559999,7.6906266,1.2082379,9.12,4.181,4.531,0.11825,0.13117954286896266,0.10604,-0.231,-0.543,19728876.0,73929528.0,25424000.0,31436000.0,141873000.0,4811000.0,59183000.0,0.874,154704000.0,115987000.0,,35130000.0,20294000.0,23820000.0,0.6185320674124041,,124748129.0,0.20000328979833537,0.6347839377355052,3.3016510105323085,3.1341806049431495,0.0371289688695832,0.042685133401322496,0.9170609680421967,0.9327291070390719,127774274.0,420000.0,105.6,[],{},0.1537696106004287,2.9078637507866585,2.3517472960936505,0.4252157541165419,0.09469697866448662,,0.26289996153009854,1.0,20,20,0.8183333333333334,14.0,22.0,0.7489909090909092,0.7489909090909092,0.6363636363636364,0.0,1.0,0.6363636363636364,22.0,4,5,"cheapness,dividend,garp,risk",0.765845,True,1.0,0.86,strong_buy,4,13,stable,0.6713,persistent,2026-07-18
TFW.L,FW Thorpe Plc,Industrials,296964064.0,12.045455,,1.6449411,2.81,3.311,4.263,0.14079,0.08507,0.14733,-0.024,0.027,21218500.0,254545760.0,38458000.0,,173200992.0,7932000.0,59500000.0,1.611,238897000.0,121106000.0,,38362000.0,,41370000.0,,,117321908.0,0.10662754694804796,0.48599529004880604,3.1569261248110108,2.5816583837246307,0.01742591995713634,0.020322956959538282,0.7250027919982251,0.770982992570762,117111586.0,,265.0,[],{},0.07145140632234882,6.618798689479432,,,0.08301886479174095,,,0.9,18,20,0.6516666666666668,10.0,22.0,0.5508272727272727,0.5508272727272727,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.5536833333333333,True,0.5,0.6508,buy,3,13,stable,0.5861,persistent,2026-07-18
PAF.L,Pan African Resources PLC,Basic Materials,2572692736.0,9.3,6.3212385,3.1259027,2.73,1.475,5.848,0.45103002,0.222138270913981,0.30888999,0.909,1.237,327180512.0,2262787072.0,603427008.0,548642000.0,1156451000.0,60582000.0,246179008.0,0.38676828,1608075000.0,328505000.0,,214720000.0,357215000.0,556991000.0,0.5552799037745655,,2027313471.0,0.14096140502474344,0.418207776191455,1.5299226900149032,0.5996269993347396,0.03690312951821277,0.1927648234112387,0.7191524027175349,0.5376089213735268,2029317205.0,15136000.0,120.9,[],{},0.1271743443831141,3.7498935944212826,4.124341687293353,0.24246293731697616,0.1075268817204301,,0.3937560779557256,1.0,20,20,0.5874999999999999,14.0,22.0,0.780790909090909,0.780790909090909,0.6363636363636364,0.0,1.0,0.6363636363636364,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.8610150000000001,True,1.0,0.5625,buy,3,5,stable,0.575,persistent,2026-07-26
ASY.L,Andrews Sykes Group plc,Industrials,230223088.0,12.790697,,4.3002343,4.8,2.743,23.447,0.35014,0.20695771585512387,0.22684,0.077,-0.009,14466000.0,215731088.0,30159000.0,23457000.0,76500000.0,12907000.0,27399000.0,1.279,87385000.0,50065000.0,,19154000.0,18085000.0,22843000.0,0.6390457516339869,,41858744.0,0.20920356186562053,0.6478496747517842,2.613814346872716,2.3413084903662926,0.17409166332894663,0.19962637773211284,0.8754362876923957,0.9457874089295722,41858744.0,1013000.0,550.0,[],{},0.06283470578763152,7.153124705726317,9.196874621648123,0.10873259026997537,0.07818182230413245,,0.3437880142457241,1.0,20,20,0.58,10.0,22.0,0.6758636363636363,0.6758636363636363,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.750115,True,1.0,0.5567,buy,3,4,stable,0.5683,persistent,2026-08-02
JHD.L,James Halstead plc,Industrials,520514272.0,13.888888,12.987013,2.9069767,7.06,4.128,5.058,0.2131,0.13227001,0.14588,-0.022,-0.129,41133248.0,459276032.0,53575000.0,,259074000.0,9057000.0,70764000.0,0.43,246995000.0,202361000.0,,60573000.0,,49328000.0,,,432828966.0,0.1691173475622174,0.440630672909368,3.340778894887161,3.1077900388643496,0.02585882305309824,0.029644413669504297,1.0489038239640478,1.1196326015233595,416754052.0,,125.0,[],{},0.07902424623623,8.572581091927205,,,0.0720000046080003,,,0.9,18,20,0.6033333333333333,9.0,22.0,0.5539772727272727,0.5539772727272727,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6251016666666667,True,0.5,0.5808,buy,3,13,stable,0.5329,persistent,2026-07-18
MPE.L,M.P. Evans Group PLC,Consumer Defensive,1113946624.0,12.187501,13.6798,2.5260842,3.15,4.204,,0.21034001,0.16642961942689463,0.31847998,0.094,0.255,94385504.0,1015687808.0,183224992.0,137753000.0,370995000.0,0.0,113519000.0,8.491404,667940000.0,138845000.0,,38298000.0,111165000.0,137110000.0,0.3833501799215623,,52176292.0,0.1390333454666308,0.330433993974589,3.6253851376050967,2.3092176502436383,0.0,0.052268662857866334,0.5554316255951134,0.5584044186304145,53289690.0,1128000.0,2145.0,[],{},0.08473072404589468,5.543391198510736,7.373253635129544,0.13562533577246602,0.08205127531886973,,0.218779878089454,0.95,19,20,0.675,15.0,22.0,0.6733909090909092,0.6733909090909092,0.6818181818181818,0.0,1.0,0.6818181818181818,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7569066666666667,True,0.9,0.6875,buy,3,2,stable,0.4854,building,2026-09-23
KGH.L,Knights Group Holdings plc,Industrials,144425088.0,33.6,4.937691,1.3603239,3.35,2.257,116.668,0.04518,0.016564073866815892,0.022769999,0.266,2.46,24624376.0,259525072.0,35696000.0,25030000.0,207976000.0,122625000.0,6034000.0,1.235,285920000.0,104585000.0,,46341000.0,4736000.0,32647000.0,,,85967308.0,0.02719193717427821,,2.2568567790941065,2.5717292451604523,0.42887870733072186,0.44847673467043775,0.7273922775601567,0.5813317445049029,85967308.0,8528000.0,168.0,[],{},0.17049929718581858,7.270424473330345,10.368560607271274,0.0964454023925673,0.02976190476190476,,0.10447493311183367,1.0,20,20,0.5916666666666667,6.0,22.0,0.5167772727272729,0.5167772727272729,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,4,5,"cheapness,dividend,garp,risk",0.62285,True,0.9,0.6208,buy,3,5,stable,0.485,persistent,2026-07-26
CAML.L,Central Asia Metals plc,Basic Materials,270265088.0,,5.657436,1.2329011,9.24,3.415,0.622,-0.13623,-0.19504221574859215,-0.16580999,0.463,2.451,74636128.0,178390624.0,137298000.0,63493000.0,229860000.0,1850000.0,97211000.0,1.2863969,384809000.0,112349000.0,,38431000.0,-75054000.0,63663000.0,0.45070912729487517,,172087922.0,0.11578622487254639,0.4851311083235016,2.923395175769561,3.3457781636639896,0.005626167787135956,0.003877112868815712,0.5973353014092706,0.4830981758871064,174600726.0,2612000.0,158.6,[],{},0.27615896878253104,1.2992951390406269,2.809610886239428,0.3559211721799908,,,0.18330552171327277,0.95,19,20,0.6833333333333335,6.0,22.0,0.5691545454545456,0.5691545454545456,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,3,5,"cheapness,dividend,risk",0.5154533333333333,True,0.75,0.8,buy,3,13,stable,0.4227,persistent,2026-07-18
CAM.L,Camellia Plc,Consumer Defensive,144084320.0,8.085106,-61.540455,0.48172814,4.58,2.841,7.306,0.06101,-0.011136363636363637,0.07059,-0.029,,-18012500.0,82184312.0,13500000.0,300000.0,268000000.0,24600000.0,124100000.0,118.324,440000000.0,210300000.0,,67000000.0,-4900000.0,6900000.0,0.2082089552238806,,2527795.0,-0.01028763384421583,0.18688024408848208,3.138805970149254,2.957920792079208,0.05090909090909091,0.05647701028763384,0.6090909090909091,0.5504933865211001,2758430.0,3400000.0,5700.0,[],{},-0.12501360314571355,6.087726814814815,273.94770666666665,0.003650331708075867,0.12368421638504183,,0.0008042895442359249,1.0,20,20,0.6375,10.0,22.0,0.5576818181818182,0.5576818181818182,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,4,5,"cheapness,quality,dividend,risk",0.49744333333333335,True,0.65,0.7125,buy,3,2,stable,0.405,building,2026-09-23
YNGN.L,"Young & Co.'s Brewery, P.L.C.",Consumer Cyclical,418591552.0,15.511111,,0.5397047,3.52,0.266,39.715,0.03585,0.02125559857283838,0.0551,0.037,,48987500.0,736267968.0,106100000.0,71300000.0,508200000.0,315100000.0,8400000.0,12.933,1317300000.0,29400000.0,,111000000.0,28000000.0,105200000.0,0.4771743408107044,,60775998.0,0.007456440690862056,0.47241663235899545,0.2648648648648649,0.307027027027027,0.23920139679647764,0.2615841132161607,0.3857891140970166,0.3696264171041619,61759775.0,18200000.0,698.0,[],{},0.11702935657908356,6.939377643732328,10.326338962131837,0.09683974191309651,0.06446991450193348,,0.05910635828566692,1.0,20,20,0.700952380952381,9.0,22.0,0.5992000000000002,0.5992000000000002,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,4,5,"cheapness,quality,dividend,risk",0.5608283333333334,True,0.9,0.7055,strong_buy,4,1,improving,0.3516,new,2026-09-25
