run_at,ticker,signal,signal_rank,conviction_score,data_quality_score
2026-07-18T18:11:19.476153+00:00,J36.SI,buy,3,0.0,0.95
2026-07-18T18:11:19.476153+00:00,U14.SI,buy,3,0.0,0.95
2026-07-18T18:11:19.476153+00:00,BS6.SI,buy,3,0.0,0.95
2026-07-18T18:11:19.476153+00:00,G13.SI,buy,3,0.0,0.95
2026-07-18T18:11:19.476153+00:00,U11.SI,hold,2,0.0,0.65
2026-07-18T18:11:19.476153+00:00,Y92.SI,hold,2,0.0,0.95
2026-07-18T18:11:19.476153+00:00,BUOU.SI,hold,2,0.0,0.95
2026-07-18T18:11:19.476153+00:00,C6L.SI,hold,2,0.0,0.95
2026-07-18T18:11:19.476153+00:00,A17U.SI,hold,2,0.0,0.9
2026-07-18T18:11:19.476153+00:00,O39.SI,hold,2,0.0,0.6
2026-07-18T18:11:19.476153+00:00,U96.SI,hold,2,0.0,0.95
2026-07-18T18:11:19.476153+00:00,D05.SI,hold,2,0.0,0.6
2026-07-18T18:11:19.476153+00:00,V03.SI,hold,2,0.0,0.95
2026-07-18T18:11:19.476153+00:00,M44U.SI,hold,2,0.0,0.95
2026-07-18T18:11:19.476153+00:00,N2IU.SI,hold,2,0.0,0.95
2026-07-18T18:11:19.476153+00:00,J69U.SI,hold,2,0.0,0.75
2026-07-18T18:11:19.476153+00:00,ME8U.SI,hold,2,0.0,0.95
2026-07-18T18:11:19.476153+00:00,C09.SI,hold,2,0.0,0.95
2026-07-18T18:11:19.476153+00:00,H78.SI,hold,2,0.0,0.95
2026-07-18T18:11:19.476153+00:00,F34.SI,hold,2,0.0,0.95
2026-07-18T18:11:19.476153+00:00,AJBU.SI,hold,2,0.0,0.8
2026-07-18T18:11:19.476153+00:00,Z74.SI,hold,2,0.0,0.95
2026-07-18T18:11:19.476153+00:00,S58.SI,hold,2,0.0,0.95
2026-07-18T18:11:19.476153+00:00,5E2.SI,hold,2,0.0,0.95
2026-07-18T18:11:19.476153+00:00,S68.SI,hold,2,0.0,0.95
2026-07-18T18:11:19.476153+00:00,C38U.SI,avoid,1,0.0,0.95
2026-07-18T18:11:19.476153+00:00,BN4.SI,avoid,1,0.0,0.95
2026-07-18T18:11:19.476153+00:00,D01.SI,avoid,1,0.0,0.95
2026-07-18T18:11:19.476153+00:00,9CI.SI,avoid,1,0.0,0.95
2026-07-18T18:11:19.476153+00:00,S63.SI,avoid,1,0.0,0.95
2026-07-19T15:34:29.005141+00:00,J36.SI,buy,3,0.3046,0.95
2026-07-19T15:34:29.005141+00:00,U14.SI,buy,3,0.3668,0.95
2026-07-19T15:34:29.005141+00:00,BS6.SI,buy,3,0.4512,0.95
2026-07-19T15:34:29.005141+00:00,G13.SI,buy,3,0.3221,0.95
2026-07-19T15:34:29.005141+00:00,Y92.SI,hold,2,0.4091,0.85
2026-07-19T15:34:29.005141+00:00,U11.SI,hold,2,0.0589,0.55
2026-07-19T15:34:29.005141+00:00,BUOU.SI,hold,2,0.3043,0.95
2026-07-19T15:34:29.005141+00:00,C6L.SI,hold,2,0.2814,0.95
2026-07-19T15:34:29.005141+00:00,O39.SI,hold,2,0.1243,0.6
2026-07-19T15:34:29.005141+00:00,U96.SI,hold,2,0.246,0.85
2026-07-19T15:34:29.005141+00:00,D05.SI,hold,2,0.0452,0.5
2026-07-19T15:34:29.005141+00:00,A17U.SI,hold,2,0.2493,0.9
2026-07-19T15:34:29.005141+00:00,M44U.SI,hold,2,0.0761,0.95
2026-07-19T15:34:29.005141+00:00,N2IU.SI,hold,2,0.0725,0.95
2026-07-19T15:34:29.005141+00:00,V03.SI,hold,2,0.3017,0.95
2026-07-19T15:34:29.005141+00:00,J69U.SI,hold,2,0.1119,0.75
2026-07-19T15:34:29.005141+00:00,ME8U.SI,hold,2,0.1334,0.95
2026-07-19T15:34:29.005141+00:00,H78.SI,hold,2,0.1386,0.95
2026-07-19T15:34:29.005141+00:00,F34.SI,hold,2,0.1924,0.95
2026-07-19T15:34:29.005141+00:00,AJBU.SI,hold,2,0.2237,0.8
2026-07-19T15:34:29.005141+00:00,Z74.SI,hold,2,0.2512,0.95
2026-07-19T15:34:29.005141+00:00,S58.SI,hold,2,0.2304,0.95
2026-07-19T15:34:29.005141+00:00,C09.SI,hold,2,0.164,0.85
2026-07-19T15:34:29.005141+00:00,5E2.SI,hold,2,0.2449,0.95
2026-07-19T15:34:29.005141+00:00,S68.SI,hold,2,0.1781,0.95
2026-07-19T15:34:29.005141+00:00,C38U.SI,avoid,1,0.1236,0.95
2026-07-19T15:34:29.005141+00:00,BN4.SI,avoid,1,0.0552,0.95
2026-07-19T15:34:29.005141+00:00,D01.SI,avoid,1,0.1093,0.95
2026-07-19T15:34:29.005141+00:00,9CI.SI,avoid,1,0.0,0.95
2026-07-19T15:34:29.005141+00:00,S63.SI,avoid,1,0.0398,0.95
2026-07-20T20:06:59.706524+00:00,J36.SI,buy,3,0.3554,0.95
2026-07-20T20:06:59.706524+00:00,U14.SI,buy,3,0.429,0.95
2026-07-20T20:06:59.706524+00:00,BS6.SI,buy,3,0.5264,0.95
2026-07-20T20:06:59.706524+00:00,G13.SI,buy,3,0.3733,0.95
2026-07-20T20:06:59.706524+00:00,U11.SI,hold,2,0.1816,0.65
2026-07-20T20:06:59.706524+00:00,Y92.SI,hold,2,0.5154,0.95
2026-07-20T20:06:59.706524+00:00,BUOU.SI,hold,2,0.3552,0.95
2026-07-20T20:06:59.706524+00:00,C6L.SI,hold,2,0.3076,0.95
2026-07-20T20:06:59.706524+00:00,A17U.SI,hold,2,0.2876,0.9
2026-07-20T20:06:59.706524+00:00,O39.SI,hold,2,0.0641,0.6
2026-07-20T20:06:59.706524+00:00,U96.SI,hold,2,0.2932,0.95
2026-07-20T20:06:59.706524+00:00,D05.SI,hold,2,0.0598,0.6
2026-07-20T20:06:59.706524+00:00,V03.SI,hold,2,0.3606,0.95
2026-07-20T20:06:59.706524+00:00,M44U.SI,hold,2,0.0871,0.95
2026-07-20T20:06:59.706524+00:00,N2IU.SI,hold,2,0.0803,0.95
2026-07-20T20:06:59.706524+00:00,J69U.SI,hold,2,0.1286,0.75
2026-07-20T20:06:59.706524+00:00,ME8U.SI,hold,2,0.1547,0.95
2026-07-20T20:06:59.706524+00:00,C09.SI,hold,2,0.2542,0.95
2026-07-20T20:06:59.706524+00:00,H78.SI,hold,2,0.1617,0.95
2026-07-20T20:06:59.706524+00:00,F34.SI,hold,2,0.2244,0.95
2026-07-20T20:06:59.706524+00:00,AJBU.SI,hold,2,0.2597,0.8
2026-07-20T20:06:59.706524+00:00,Z74.SI,hold,2,0.294,0.95
2026-07-20T20:06:59.706524+00:00,S58.SI,hold,2,0.2688,0.95
2026-07-20T20:06:59.706524+00:00,5E2.SI,hold,2,0.289,0.95
2026-07-20T20:06:59.706524+00:00,S68.SI,hold,2,0.1746,0.95
2026-07-20T20:06:59.706524+00:00,BN4.SI,avoid,1,0.0713,0.95
2026-07-20T20:06:59.706524+00:00,C38U.SI,avoid,1,0.1426,0.95
2026-07-20T20:06:59.706524+00:00,D01.SI,avoid,1,0.1164,0.95
2026-07-20T20:06:59.706524+00:00,9CI.SI,avoid,1,0.0,0.95
2026-07-20T20:06:59.706524+00:00,S63.SI,avoid,1,0.0464,0.95
