ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label,signal_since
FME.DE,Fresenius Medical Care AG,Healthcare,10401508352.0,11.665663,8.932134,0.8207943,3.85,1.071,81.131,0.08524,0.03155785082367833,0.048270002,0.014,0.055,2022340224.0,21229676544.0,2721596928.0,1826824000.0,19627602000.0,10978023424.0,1061251008.0,47.186,31002333000.0,7898400000.0,,6245103000.0,978367000.0,2680999000.0,0.2562171884267879,,279288885.0,0.01602525535890923,0.24600095087332072,1.2647349451242038,1.3997632533930735,0.3482191162839261,0.32707855036403916,0.6331008056716247,0.5760464597837033,293413449.0,384409000.0,38.73,[],{},0.19442759218773736,7.800448452005307,11.621084759122937,0.08605048674263965,0.08572166022625546,,0.07378951522444151,1.0,20,20,0.8916666666666667,13.0,22.0,0.6783454545454546,0.6783454545454546,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6681866666666666,True,0.9,0.9333,strong_buy,4,20,stable,0.9125,persistent,2026-07-18
DHL.DE,DHL AG,Industrials,64266944512.0,17.506098,15.091582,2.859704,3.39,1.03,122.614,0.18090001,0.049297361232363626,0.04344,0.128,0.286,5425375232.0,87894491136.0,8397000192.0,5313000000.0,82855000000.0,27971999744.0,4291000064.0,20.079,71018000000.0,20946000000.0,,21410000000.0,3501000000.0,9119000000.0,0.164455977309758,,1119243239.0,0.04768515205724508,0.1562574238608828,0.9783278841662775,0.951631949364697,0.3583176096200963,0.32117352415026834,1.1666760539581515,1.2048372093023256,1153216427.0,1107000000.0,57.42,[],{},0.08441937411521046,10.467368003604305,16.543288374929418,0.06044747436763862,0.05712295224212728,,0.10709966134494436,1.0,20,20,0.8125000000000001,9.0,22.0,0.5520454545454546,0.5520454545454546,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6551183333333334,True,0.8,0.875,strong_buy,4,7,stable,0.8438,persistent,2026-07-26
HEI.DE,Heidelberg Materials AG,Basic Materials,25333055488.0,12.552266,9.995873,1.3595109,2.5,1.374,50.409,0.11698,0.05370652203990149,0.091680005,0.017,0.088,1235725056.0,34329315328.0,4081900032.0,3058700000.0,21460200000.0,9983099904.0,2192199936.0,105.994,36139000000.0,8602400000.0,,6960700000.0,1940900000.0,3254800000.0,0.6420769610721242,,176365065.0,0.04776725993721466,0.6392675502448432,1.235852715962475,1.267609902599639,0.22446387559146627,0.21971920850792323,0.5938238468136916,0.5671698608910586,178430760.0,286900000.0,144.1,[],{},0.048779155620819206,8.410131325822729,11.223498652368653,0.0890987766803853,0.07966689042440624,,0.10482790292786077,1.0,20,20,0.7625,10.0,22.0,0.5981136363636363,0.5981136363636363,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6646516666666666,True,1.0,0.75,strong_buy,4,13,stable,0.7562,persistent,2026-07-20
DTE.DE,Deutsche Telekom AG,Communication Services,130995699712.0,15.38764,10.7558975,2.1887486,3.69,1.033,165.297,0.15063,0.03316089712840228,0.07013,0.043,-0.05,17394624512.0,301298057216.0,42652000256.0,25612000000.0,118343000000.0,146755993600.0,5373000192.0,12.514,289769000000.0,41177000000.0,,36848000000.0,9609000000.0,40627000000.0,0.6107585577516202,,4838022420.0,0.03675877402979005,0.6113229839024941,1.1174826313504125,1.0562503552953215,0.48473784290244987,0.47599152603514205,0.4084046257536175,0.37749480215390874,4900429250.0,6547000000.0,27.39,[],{},0.13278775219524666,7.064101458491748,11.76394101265032,0.08500552654290368,0.06498722351185757,,0.10126482182183369,1.0,20,20,0.6863051209103841,8.0,22.0,0.5651545454545455,0.5651545454545455,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6303716666666667,True,0.9,0.7044,buy,3,5,stable,0.6954,persistent,2026-08-16
BAS.DE,BASF SE,Basic Materials,45472002048.0,21.696203,17.320011,1.227735,4.36,1.855,71.358,0.061160002,0.021253971171265786,0.094239995,0.164,52.989,1055000000.0,64413556736.0,6568000000.0,2860000000.0,59656000000.0,26684999680.0,7887000064.0,41.882,76174000000.0,31684000000.0,,16411000000.0,1619000000.0,5610000000.0,0.24069666085557195,,892522164.0,0.016141267176521795,0.24769298374102827,1.9306562671378953,1.832971418510476,0.30468401291779346,0.2983896039296151,0.7831543571297293,0.7640738668158925,892522164.0,982000000.0,51.42,[],{},0.023201089736193004,9.807179771010961,22.522222634965036,0.044400591194207084,0.046091014174231316,,0.047855696668507273,1.0,20,20,0.625,8.0,22.0,0.5322681818181817,0.5322681818181817,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7312000000000001,True,1.0,0.7,buy,3,20,stable,0.6625,persistent,2026-07-18
FRE.DE,Fresenius SE & Co. KGaA,Healthcare,25368205312.0,16.259928,11.389067,1.2877771,2.29,1.28,55.978,0.08287,0.030535088778838024,0.06538,0.052,0.172,1710125056.0,36242001920.0,3039000064.0,2181400000.0,22873000000.0,11418999808.0,1279000064.0,34.975,41395000000.0,11027000000.0,,8383000000.0,1264000000.0,2574000000.0,0.2488960783456477,,563237277.0,0.010815154994259472,0.2567641432085269,1.3154002147202672,1.2705072705072704,0.28827153037806497,0.31175660160734786,0.5525546563594637,0.5041102181400688,563237277.0,445000000.0,45.04,[],{},0.06741214189050473,11.925633812688199,16.614101916200607,0.06018983180937926,0.061500887334802475,,0.06607900157518479,1.0,20,20,0.6416666666666667,9.0,22.0,0.5448681818181819,0.5448681818181819,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.641465,True,1.0,0.6667,buy,3,20,stable,0.6542,persistent,2026-07-18
HNR1.DE,Hannover Rück SE,Financial Services,30390478848.0,11.116013,10.6919565,2.2908466,4.95,0.196,28.967,0.22163,0.0370336099462897,0.12060001,-0.233,-0.165,6808162304.0,28668131328.0,3442299904.0,3546400000.0,24017800000.0,4143899904.0,7219599872.0,110.003,71327100000.0,,,,2641500000.0,5686900000.0,,,120597134.0,0.032285972163106066,,,,0.058074700920127134,0.06473138464908572,0.3367275551648672,0.33150831931876,120597134.0,133600000.0,252.0,[],{},0.22402287038817242,8.328191072104797,8.083727534401083,0.12370530745184118,0.08996031220906273,,,0.95,19,20,0.6916666666666668,15.0,22.0,0.6760818181818181,0.6760818181818181,0.6818181818181818,0.0,1.0,0.6818181818181818,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7396316666666667,True,0.9,0.6833,buy,3,7,stable,0.6531,persistent,2026-07-26
MUV2.DE,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,Financial Services,63335002112.0,9.362098,9.760112,1.8871602,4.74,0.276,24.378,0.21299,0.02185515157144184,0.11163,0.013,0.098,6889625088.0,66583400448.0,,8995000000.0,62310000000.0,8222000128.0,5818999808.0,266.75,279934000000.0,,,,6118000000.0,4906000000.0,,,127961889.0,0.0199132808736149,,,,0.02655625968978402,0.02206729460065214,0.222588181499925,0.2249111512976449,131406411.0,369000000.0,503.4,[],{},0.10878068774382549,,7.402267976431351,0.13509373116239196,0.1068136650566999,,,0.9,18,20,0.7222222222222222,14.0,22.0,0.6897,0.6897,0.6363636363636364,0.0,1.0,0.6363636363636364,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7381866666666668,True,0.9,0.7255,strong_buy,4,5,stable,0.6515,persistent,2026-08-16
HEN3.DE,Henkel AG & Co. KGaA,Consumer Defensive,29610795008.0,15.561703,12.341325,1.4136338,2.84,1.199,31.879,0.09395,0.06255187040850828,0.09359,-0.005,-0.081,1460875008.0,32106307584.0,3254000128.0,2765000000.0,20495000000.0,6717000192.0,4421000192.0,51.739,32533000000.0,10070000000.0,,8418000000.0,2035000000.0,2535000000.0,0.5084654793852159,,406787036.0,0.05693940081706764,0.5012508107106458,1.1962461392254693,1.214081408140814,0.11397657762886915,0.1014525646845211,0.6299757169643132,0.6124035406264186,419361799.0,116000000.0,73.14,[],{},0.04933589279198052,9.866719828229828,11.611684478842676,0.0861201492188383,0.06426031906662144,,0.11465892597968069,1.0,20,20,0.6058367983367984,9.0,22.0,0.5964772727272728,0.5964772727272728,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.667035,True,1.0,0.624,buy,3,20,stable,0.6149,persistent,2026-07-18
DTG.DE,Daimler Truck Holding AG,Industrials,32841207808.0,29.793102,9.00469,1.4550353,4.37,1.7,127.015,0.05047,0.02716117468633669,0.057239998,0.053,4.308,5422875136.0,51991601152.0,3755000064.0,2755000000.0,45530000000.0,29135998976.0,10346000384.0,29.69,72530000000.0,40646000000.0,,22133000000.0,1970000000.0,4336000000.0,0.18976499011640677,,765600399.0,0.03926666125057546,0.200406593187571,1.836443319929517,1.6292420455026904,0.38124913828760515,0.3571370541879925,0.6277402454156901,0.6793538603190078,781773636.0,425000000.0,43.2,[],{},0.16512410772782257,13.845965450295129,18.871724556079855,0.05298932787135411,0.033564816446437835,,0.05466595233843284,1.0,20,20,0.675,7.0,22.0,0.48108636363636353,0.48108636363636353,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,4,5,"cheapness,dividend,garp,risk",0.6214266666666667,True,0.8,0.7563,strong_buy,4,5,stable,0.5725,persistent,2026-08-16
