ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label,timing_signal,timing_score,rsi_14
CARD.L,Card Factory plc,Consumer Cyclical,239424960.0,7.811111,4.933334,0.6858537,7.11,0.894,58.815,0.08896,0.0472083522469359,0.053540003,0.086,-0.315,70875000.0,432852256.0,87400000.0,59400000.0,582700000.0,208500000.0,18800000.0,1.025,660900000.0,104100000.0,,116400000.0,31200000.0,110300000.0,0.323837309078428,,345829088.0,0.0776478232618583,0.3572350230414746,0.8943298969072165,0.9463087248322148,0.315478892419428,0.299545159194282,0.8816765017400514,0.8812540610786225,348004716.0,15200000.0,70.3,[],{},0.296021768156503,4.952542974828376,7.287075016835017,0.1372292720590556,0.1280227614227988,,0.109090909090909,1.0,20,20,0.8096428571428571,12.0,22.0,0.6982409090909091,0.6982409090909091,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,4,5,"cheapness,dividend,garp,risk",0.68255,True,0.9,0.8513,strong_buy,4,1,improving,0.4152,new,neutral,0.5,59.455287949651726
CAPD.L,Capital Limited,Basic Materials,229087104.0,3.9038463,7.220343,0.8140507,1.88,2.472,33.679,0.21179001,0.1099328552679131,0.20058,0.045,6.393,43112248.0,209368336.0,78308000.0,50870000.0,345775000.0,130905000.0,163176992.0,1.2468511,630876000.0,336700000.0,,136229000.0,69354000.0,73586000.0,0.4318530836526643,,225303781.0,0.0311895475819032,0.4122011494252873,2.4715736003347306,1.9824660735148736,0.207497194377342,0.290503120124805,0.5480871042803974,0.6786271450858035,196257124.0,14267000.0,101.5,[],{},0.1881915098983485,2.673651938499259,4.115752624336544,0.2429689272593731,0.2561576258778426,,0.1028410159164009,1.0,20,20,0.7385714285714287,20.0,22.0,0.8527727272727271,0.8527727272727271,0.9090909090909092,0.0,1.0,0.9090909090909092,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.8640683333333333,True,1.0,0.7157,strong_buy,4,9,stable,0.7271,persistent,neutral,0.625,39.20877052495429
ULTP.L,Ultimate Products Plc,Consumer Cyclical,47722736.0,11.440001,8.259928,1.0306306,5.33,1.248,34.635,0.08151,0.0905602918025171,0.02688,-0.063,-0.524,16196500.0,60566196.0,8577000.0,15694000.0,155497000.0,16077000.0,3351000.0,0.555,116243000.0,71688000.0,,56147000.0,10527000.0,15370000.0,0.2601593599876525,,86152136.0,0.1147038988024716,0.2570243213179809,1.2767912800327712,1.3243232106802918,0.1668745644899047,0.2276488708236881,1.3376891511746944,1.5157300913183749,89312457.0,1380000.0,57.2,[],{},0.3393874986547293,7.0614662469394895,3.85919434178667,0.259121441273941,0.0874125797716276,,0.2611488285410011,1.0,20,20,0.6682142857142856,12.0,22.0,0.7031318181818181,0.7031318181818181,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,4,5,"cheapness,dividend,garp,risk",0.7020633333333334,True,1.0,0.7015,buy,3,1,deteriorating,0.3424,new,neutral,0.375,75.84217577235873
BOOT.L,Henry Boot PLC,Real Estate,202776288.0,10.066667,12.069379,0.4786054,5.21,4.853,27.711,0.04343,0.0359383285628489,0.09349,,,9288250.0,308569696.0,30255000.0,25239000.0,251549000.0,116425000.0,8399000.0,3.155,654371000.0,454803000.0,,93722000.0,23517000.0,-30910000.0,0.2616746637831993,,133842425.0,0.0374140933420135,0.2702372723447737,4.8526813341584685,4.522863406804213,0.1779189481196446,0.1273919973318025,0.3844134290792226,0.4268346262759724,133742811.0,7975000.0,151.0,[],{},0.0458054050185591,10.19896532804495,12.22590815800943,0.0817935148109942,0.0993377450550415,,0.0450174708239914,1.0,20,20,0.6607142857142857,8.0,22.0,0.5398545454545455,0.5398545454545455,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,3,5,"cheapness,dividend,risk",0.4525233333333333,True,0.5,0.6679,buy,3,14,stable,0.3986,persistent,neutral,0.5,38.23060455420571
FOXT.L,Foxtons Group plc,Real Estate,113556768.0,9.6,6.911447,0.78048784,3.05,1.057,43.047,0.09048,0.047154608825246,0.07446,0.012,-0.306,25091876.0,170088784.0,24609000.0,19362000.0,172533000.0,62405000.0,5475000.0,0.492,272423000.0,44275000.0,,41881000.0,12846000.0,27684000.0,0.6399761205102792,,294694333.0,0.0522154849006928,0.6396932781054981,1.0571619588835033,0.8924213029601352,0.2290739034516175,0.2266275852296034,0.6333275824728455,0.6113075127350294,303848140.0,3079000.0,38.4,[],{},0.2209632806738564,6.911649559104393,8.784670178700548,0.1138346664880619,0.1041666666666666,,0.0839846969315786,1.0,20,20,0.6714285714285715,13.0,22.0,0.6906045454545455,0.6906045454545455,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6625233333333334,True,0.9,0.6536,buy,3,6,stable,0.6625,persistent,neutral,0.625,29.762891256605286
GLE.L,MJ Gleeson plc,Consumer Cyclical,158382464.0,10.86,11.500825,0.51921976,4.05,3.874,9.396,0.04755,0.0510677243834761,0.03757,0.097,-0.54,-5829625.0,185603456.0,26889000.0,28371000.0,345345000.0,28661000.0,1440000.0,5.229,378047000.0,368218000.0,,63618000.0,19306000.0,17986000.0,0.2447813056508708,,58271100.0,0.0642232307986649,0.2744008114059801,5.787953095035996,4.926949347399743,0.0134269019460543,0.0136689271061414,0.9134975280851324,0.8724277757700729,58342360.0,3434000.0,271.5,[],{},-0.0368072629555756,6.902579344713452,6.542013182475063,0.15285814505523,0.0920810313075506,,0.0902302268556653,1.0,20,20,0.546904761904762,10.0,22.0,0.6287136363636364,0.6287136363636364,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,4,5,"cheapness,dividend,garp,risk",0.619785,True,0.83335,0.6127,buy,3,14,stable,0.4638,persistent,neutral,0.5,59.87000156006064
GMS.L,Gulf Marine Services PLC,Energy,211537696.0,18.36,5.420513,0.67999274,,0.689,50.809,0.04835,0.0269956724058366,0.100439996,0.165,-0.53,52975124.0,401861664.0,92600000.0,54690000.0,188118000.0,214548000.0,27786000.0,0.2700029,699927000.0,79083000.0,,114844000.0,18895000.0,88440000.0,0.3724896075867275,,1152166012.0,0.055590687652239,0.535159468398868,0.6886123785308766,0.7442621646089717,0.3065291094642727,0.3518816165448754,0.2687680286658466,0.2451839750796327,1069946316.0,13241000.0,18.36,[],{},0.2504287651880258,4.33975879049676,7.347991662095447,0.1360916078822587,0.0544662309368191,,0.0934739173758253,0.95,19,20,0.6470588235294118,5.0,22.0,0.4900409090909091,0.4900409090909091,0.2272727272727272,0.0,1.0,0.2272727272727272,22.0,2,5,"cheapness,risk",0.44431,True,0.9,0.6094,buy,3,6,stable,0.2387,persistent,neutral,0.5,45.7689103218417
REC.L,Record plc,Financial Services,87091896.0,11.15,9.124386,3.2086332,8.07,4.336,23.767,0.24706,0.1886099958124984,0.19097,0.019,-0.187,8337625.0,81279896.0,10368000.0,9528000.0,40096000.0,6609000.0,13027000.0,0.139,40597000.0,26499000.0,,6112000.0,7657000.0,9204000.0,0.9953611332801277,,195273312.0,0.2292216981132075,0.988657935840442,4.335569371727749,4.391729443821125,0.1627952804394413,0.1675707547169811,0.9876591866394068,0.9814858490566036,193158618.0,397000.0,44.6,[],{},0.0957336489723452,7.839496141975308,8.530635600335852,0.1172245594408733,0.0896860986547085,,0.2762940408873423,1.0,20,20,0.6054834054834054,13.0,22.0,0.7282363636363637,0.7282363636363637,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7781266666666666,True,1.0,0.5883,buy,3,1,improving,0.3731,new,neutral,0.625,45.11916253509342
MER.L,Mears Group plc,Consumer Cyclical,344395776.0,8.046295,10.498974,1.8624089,4.03,0.794,155.61,0.23421,0.0624532161609283,0.040710002,0.043,0.014,31529876.0,649049280.0,83403000.0,75028000.0,1135461000.0,318720992.0,48479000.0,2.333,740106000.0,222899000.0,,280869000.0,46222000.0,112651000.0,0.2341242896057196,,82407805.0,0.0663382500766384,0.2236209834791745,0.7936048478116132,0.8390700706781846,0.4306423674446633,0.4241878105639877,1.5341869948358748,1.614768765728707,86304012.0,16078000.0,434.5,[],{},0.0915512854605975,7.782085536491493,8.650760782641147,0.1155967694779663,0.1242808025308542,,0.1633753377885492,1.0,20,20,0.598452380952381,9.0,22.0,0.5915954545454546,0.5915954545454546,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,4,5,"cheapness,dividend,garp,risk",0.5858883333333333,True,0.8,0.5668,buy,3,6,stable,0.4661,persistent,wait,0.25,59.65130738786101
DFS.L,DFS Furniture plc,Consumer Cyclical,321804256.0,9.266666,8.825397,1.1535269,0.72,0.269,150.969,0.1342,0.024603497356649,0.0327,0.086,0.882,102912496.0,721451072.0,96100000.0,73000000.0,1030300000.0,420600000.0,20500000.0,1.205,983600000.0,88700000.0,,331000000.0,24200000.0,181200000.0,0.564592837037756,,230688346.0,-0.0042044911610129,0.5579981764765475,0.2679758308157099,0.3491104397448808,0.4799715331435543,0.5654085045389393,1.0474786498576658,0.9432393693263258,230688346.0,37200000.0,139.0,[],{},0.3197984305092596,7.507295234131114,9.882891397260272,0.1011849629630878,0.107913676828322,,0.1118602513024823,1.0,20,20,0.5989285714285715,10.0,22.0,0.60625,0.60625,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6186216666666666,True,0.6,0.5589,buy,3,6,stable,0.5789,persistent,neutral,0.5,52.93795374872063
